True label,Predicted as,Count,True class total,Error rate
why_verify_identity,verify_my_identity,15,40,0.375
pending_transfer,balance_not_updated_after_bank_transfer,6,40,0.15
card_arrival,card_delivery_estimate,6,40,0.15
card_payment_not_recognised,compromised_card,5,40,0.125
balance_not_updated_after_bank_transfer,transfer_timing,5,40,0.125
get_disposable_virtual_card,getting_virtual_card,5,40,0.125
transfer_into_account,topping_up_by_card,5,40,0.125
reverted_card_payment?,declined_card_payment,4,40,0.1
declined_transfer,declined_card_payment,4,40,0.1
declined_transfer,failed_transfer,3,40,0.075
disposable_card_limits,get_disposable_virtual_card,3,40,0.075
card_swallowed,lost_or_stolen_card,3,40,0.075
balance_not_updated_after_bank_transfer,pending_transfer,3,40,0.075
beneficiary_not_allowed,failed_transfer,3,40,0.075
card_delivery_estimate,card_arrival,3,40,0.075
top_up_reverted,top_up_failed,3,40,0.075
wrong_amount_of_cash_received,cash_withdrawal_not_recognised,3,40,0.075
transfer_not_received_by_recipient,failed_transfer,3,40,0.075
transfer_not_received_by_recipient,pending_transfer,3,40,0.075
fiat_currency_support,exchange_via_app,3,40,0.075
