True class,Error count,Total in test,Error rate
why_verify_identity,17,40,0.425
declined_transfer,11,40,0.275
pending_transfer,11,40,0.275
transfer_not_received_by_recipient,11,40,0.275
balance_not_updated_after_bank_transfer,11,40,0.275
card_payment_not_recognised,10,40,0.25
compromised_card,9,39,0.231
direct_debit_payment_not_recognised,8,40,0.2
card_arrival,7,40,0.175
top_up_reverted,7,40,0.175
topping_up_by_card,7,40,0.175
get_disposable_virtual_card,7,40,0.175
transfer_into_account,7,40,0.175
reverted_card_payment?,6,40,0.15
card_swallowed,6,40,0.15
disposable_card_limits,6,40,0.15
pin_blocked,5,39,0.128
wrong_amount_of_cash_received,5,40,0.125
wrong_exchange_rate_for_cash_withdrawal,5,40,0.125
transfer_fee_charged,5,40,0.125
fiat_currency_support,5,40,0.125
card_acceptance,4,38,0.105
neutral,2,19,0.105
supported_cards_and_currencies,4,40,0.1
automatic_top_up,4,40,0.1
extra_charge_on_statement,4,40,0.1
visa_or_mastercard,4,40,0.1
receiving_money,4,40,0.1
top_up_by_bank_transfer_charge,4,40,0.1
contactless_not_working,4,40,0.1
top_up_by_cash_or_cheque,4,40,0.1
virtual_card_not_working,3,40,0.075
request_refund,3,40,0.075
order_physical_card,3,40,0.075
exchange_via_app,3,40,0.075
verify_my_identity,3,40,0.075
card_delivery_estimate,3,40,0.075
beneficiary_not_allowed,3,40,0.075
country_support,2,39,0.051
cancel_transfer,2,40,0.05
exchange_charge,2,40,0.05
pending_card_payment,2,40,0.05
card_not_working,2,40,0.05
activate_my_card,2,40,0.05
Refund_not_showing_up,2,40,0.05
cash_withdrawal_charge,2,40,0.05
pending_top_up,2,40,0.05
top_up_by_card_charge,2,40,0.05
top_up_failed,2,40,0.05
pending_cash_withdrawal,2,40,0.05
declined_card_payment,2,40,0.05
failed_transfer,2,40,0.05
card_payment_wrong_exchange_rate,2,40,0.05
declined_cash_withdrawal,2,40,0.05
exchange_rate,1,40,0.025
getting_virtual_card,1,40,0.025
getting_spare_card,1,40,0.025
top_up_limits,1,40,0.025
lost_or_stolen_phone,1,40,0.025
lost_or_stolen_card,1,40,0.025
cash_withdrawal_not_recognised,1,40,0.025
card_payment_fee_charged,1,40,0.025
card_linking,1,40,0.025
transfer_timing,1,40,0.025
unable_to_verify_identity,1,40,0.025
