text,category
Let me check that for you.,neutral
One moment please.,neutral
Thank you for calling.,neutral
I appreciate your patience.,neutral
Let me pull up your account.,neutral
"Sure, I can help you with that.",neutral
Please hold on for a second.,neutral
I understand your concern.,neutral
Let me look into this for you.,neutral
Thank you for getting in touch with us.,neutral
I will check that right away.,neutral
Give me just a moment.,neutral
"Of course, let me assist you.",neutral
I am happy to help.,neutral
Please bear with me for a moment.,neutral
I have your account open now.,neutral
Let me verify your details.,neutral
Can I confirm your name please?,neutral
Could you verify your date of birth for me?,neutral
"For security purposes, can I ask a few questions?",neutral
I have found your account.,neutral
Thank you for your patience.,neutral
I will now look at your transaction history.,neutral
Let me check what I can do for you.,neutral
I am going to put you on a brief hold.,neutral
Thank you for waiting.,neutral
"I understand, let me take a look.",neutral
I will get that sorted for you.,neutral
Is there anything else I can help you with?,neutral
Thank you for choosing our service.,neutral
Okay.,neutral
Sure.,neutral
"Yes, that is correct.",neutral
Alright.,neutral
That makes sense.,neutral
I see.,neutral
"Okay, thank you.",neutral
That sounds good.,neutral
I appreciate your help.,neutral
Yes please.,neutral
"No, that is all.",neutral
Got it.,neutral
"Yes, go ahead.",neutral
"Okay, I will wait.",neutral
Thank you.,neutral
"Alright, thank you.",neutral
I understand.,neutral
That is fine.,neutral
"Okay, great.",neutral
"Yes, I am still here.",neutral
"Hello, how are you today?",neutral
"Good morning, how can I assist you?",neutral
"Good afternoon, what can I help you with today?",neutral
"Hi there, what seems to be the issue?",neutral
Have a good day!,neutral
Take care and goodbye.,neutral
Is there anything else you need help with today?,neutral
I hope I have resolved your issue today.,neutral
"Thank you for calling, goodbye.",neutral
Have a wonderful day.,neutral
We appreciate your business.,neutral
Feel free to call back if you need anything.,neutral
Goodbye and thank you.,neutral
"Thanks for calling, have a nice day.",neutral
It was a pleasure helping you today.,neutral
I will need to verify your identity.,neutral
Can you please confirm your email address?,neutral
Let me update your records.,neutral
I have noted that on your account.,neutral
Your request has been logged.,neutral
I will send you a confirmation shortly.,neutral
You should receive an email within a few minutes.,neutral
Let me transfer you to the right department.,neutral
I am going to check our system.,neutral
I can see your account details here.,neutral
Everything looks fine on our end.,neutral
The system is showing your account as active.,neutral
I can confirm that your account is verified.,neutral
Let me check the status of that for you.,neutral
I will escalate this to our specialist team.,neutral
So what you are saying is.,neutral
Let me just confirm what I understood.,neutral
Just to summarize what we discussed.,neutral
Going back to your original question.,neutral
So to recap.,neutral
That is a great question.,neutral
I completely understand where you are coming from.,neutral
I can certainly understand your frustration.,neutral
I am sorry to hear that.,neutral
We do apologize for the inconvenience.,neutral
I will do my best to resolve this.,neutral
Let me see what options are available.,neutral
I want to make sure I understand correctly.,neutral
Could you explain that a bit more?,neutral
Can you give me more details about that?,neutral
